keys,en_US,zh_CN
LEVEL_GUI_MAIN_START_CALIBRATION_BOTTON,"START CALIBRATION","开始校准"
LEVEL_GUI_MAIN_START_FUSION_BOTTON,"START FUSION","开始数据融合"
LEVEL_GUI_MAIN_OPTION_BOTTON,"OPTION","选项"
LEVEL_GUI_MAIN_QUIT_BOTTON,"QUIT","退出"

LEVEL_GUI_CALIBRATION_GYRO_DATA_LABEL,"Gyro","陀螺仪"
LEVEL_GUI_CALIBRATION_ACCELEROMETER_DATA_LABEL,"Accelerometer","加速度计"
LEVEL_GUI_CALIBRATION_MAGNETOMETER_DATA_LABEL,"Magnetometer","磁力计"
LEVEL_GUI_CALIBRATION_PROGRESS_LABEL,"Calibration Progress","校准进度"

FLOAT_GUI_OPTION_TITLE_LABEL,"Option","选项"
FLOAT_GUI_OPTION_LEVEL_TAB_TITLE,"  Level  ","  场景  "
FLOAT_GUI_OPTION_DISPLAY_TAB_TITLE,"Display","  显示  "
FLOAT_GUI_OPTION_LANGUAGE_TAB_TITLE,"Language","  语言  "

FLOAT_GUI_OPTION_WINDOW_MODE_OPTION_BUTTON_LABEL,"Window Mode","窗口模式"
FLOAT_GUI_OPTION_WINDOW_MODE_OPTION_BUTTON_ITEM_WINDOWED,"Windowed","窗口"
FLOAT_GUI_OPTION_WINDOW_MODE_OPTION_BUTTON_ITEM_WINDOWED_FULLSCREEN,"Windowed Fullscreen","窗口全屏"
FLOAT_GUI_OPTION_WINDOW_MODE_OPTION_BUTTON_ITEM_EXCLUSIVE_FULLSCREEN,"Exclusive Fullscreen","独占全屏"
FLOAT_GUI_OPTION_LANGUAGE_OPTION_BUTTON_LABEL,"Language","语言"
FLOAT_GUI_OPTION_CLOSE_BUTTON,"Close","关闭"
